fold,train_time,precompute_time,nll_train,nll_val,nll_test,accuracy_train,accuracy_val,accuracy_test,kernel_type,kernel_params,lambda_,grad_norm_threshold,lr,alpha_std,smoothing,SEED
1,30.19298791885376,90.76238560676575,0.4419018198797376,0.586686205508104,0.600777811078883,0.7872886297376094,0.7285447761194029,0.7332089552238806,0.5matern,sigma=5_nu=0.5_length_scale=1,1e-05,0.001,0.01,0.01,0,1234
2,31.034547805786133,90.19699835777283,0.4419126389395044,0.5650129175897854,0.6005070245088037,0.7868221574344023,0.7276119402985075,0.7285447761194029,0.5matern,sigma=5_nu=0.5_length_scale=1,1e-05,0.001,0.01,0.01,0,1234
3,30.070631980895996,90.1916446685791,0.45158260067419825,0.6148812592919193,0.5977520729178813,0.7823906705539359,0.6968283582089553,0.7294776119402985,0.5matern,sigma=5_nu=0.5_length_scale=1,1e-05,0.001,0.01,0.01,0,1234
4,31.044440984725952,89.67223048210144,0.4491191577077259,0.577723488878848,0.5981856388832206,0.7830903790087463,0.7313432835820896,0.7388059701492538,0.5matern,sigma=5_nu=0.5_length_scale=1,1e-05,0.001,0.01,0.01,0,1234
5,45.87347054481506,90.82535195350647,0.29767680621355685,0.593813084844333,0.6013344152649837,0.8663556851311953,0.7658582089552238,0.7630597014925373,0.5matern,sigma=5_nu=0.5_length_scale=1,1e-05,0.001,0.01,0.01,0,1234
6,29.372912645339966,90.19683527946472,0.4491944925291545,0.6059402921306554,0.6007835046568913,0.7854227405247813,0.7313432835820896,0.7201492537313433,0.5matern,sigma=5_nu=0.5_length_scale=1,1e-05,0.001,0.01,0.01,0,1234
7,30.083771228790283,89.7555615901947,0.4343129327623907,0.598708081601271,0.5988120463357043,0.793469387755102,0.6996268656716418,0.7238805970149254,0.5matern,sigma=5_nu=0.5_length_scale=1,1e-05,0.001,0.01,0.01,0,1234
8,43.03195881843567,89.85472655296326,0.3115312955539359,0.5489825348355877,0.6015580590091535,0.8604081632653061,0.792910447761194,0.7686567164179104,0.5matern,sigma=5_nu=0.5_length_scale=1,1e-05,0.001,0.01,0.01,0,1234
9,30.134350538253784,90.27943110466003,0.4494352767716593,0.5978958315096872,0.6034150764123717,0.7842817164179104,0.7189542483660131,0.7285447761194029,0.5matern,sigma=5_nu=0.5_length_scale=1,1e-05,0.001,0.01,0.01,0,1234
1,56.7431435585022,90.50884914398193,0.334292974444242,0.5455101354798274,0.5694597158859025,0.8579591836734693,0.7649253731343284,0.7630597014925373,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
