fold,train_time,precompute_time,nll_train,nll_val,nll_test,accuracy_train,accuracy_val,accuracy_test,kernel_type,kernel_params,lambda_,grad_norm_threshold,lr,alpha_std,smoothing,SEED
1,54.549683809280396,90.80057859420776,0.329097975127551,0.5453141625247785,0.5679325843924907,0.8601749271137026,0.7630597014925373,0.7639925373134329,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
2,73.72945857048035,90.1142349243164,0.3130640716107872,0.5236756054323111,0.5561737516033116,0.8745189504373178,0.773320895522388,0.7667910447761194,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
3,133.8676381111145,90.33756351470947,0.29025231186224487,0.5610588415345149,0.5553628722233559,0.8935276967930029,0.7574626865671642,0.7714552238805971,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
4,73.47606897354126,90.0225715637207,0.31638706040451897,0.5281714823708605,0.5571971153145405,0.8712536443148688,0.7835820895522388,0.7705223880597015,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
5,96.2615315914154,90.05144119262695,0.29736740957543734,0.5571024880480411,0.5544679556319962,0.8853644314868805,0.7667910447761194,0.7677238805970149,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
6,59.176605224609375,90.06445693969727,0.32597892561042274,0.5731900343254431,0.5591299142410506,0.8637900874635569,0.7621268656716418,0.7677238805970149,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
7,73.21003532409668,91.07124304771423,0.3087713534074344,0.5494894910214553,0.5544818479623368,0.876734693877551,0.7574626865671642,0.7705223880597015,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
8,92.20355677604675,89.68639421463013,0.3033931987973761,0.5106710177748951,0.5549747979463037,0.8824489795918368,0.7826492537313433,0.7770522388059702,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
9,53.2915735244751,90.42055106163025,0.3333949758045709,0.5538835000145892,0.5754755504095732,0.8604244402985075,0.7563025210084033,0.7527985074626866,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0,1234
1,53.49636125564575,91.34631109237671,0.3602782206632653,0.544542739640421,0.5597131074364505,0.8515451895043732,0.7565298507462687,0.7630597014925373,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
2,70.1730809211731,91.05433177947998,0.3508025464650146,0.5235516562390683,0.5519798620423274,0.8591253644314869,0.7602611940298507,0.7630597014925373,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
3,67.5049467086792,90.7778787612915,0.3474475560313411,0.5645747967620394,0.553261372580457,0.8619241982507289,0.7509328358208955,0.7658582089552238,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
4,108.46128559112549,90.631511926651,0.34349170918367344,0.5250970641178871,0.5549425153589961,0.8679883381924198,0.773320895522388,0.7630597014925373,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
5,76.66700768470764,91.18517327308655,0.34743235240524784,0.5638394142264751,0.5516319844260145,0.8618075801749271,0.746268656716418,0.7555970149253731,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
6,71.19462561607361,91.44941473007202,0.3496896638119534,0.5695760926203941,0.5534567761777053,0.8628571428571429,0.7611940298507462,0.7705223880597015,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
7,64.05256366729736,91.20496940612793,0.3514383370535714,0.5523167510530842,0.5513983199845499,0.8574927113702624,0.7388059701492538,0.7621268656716418,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
8,70.22568678855896,91.0808413028717,0.35318644087099127,0.515269606860716,0.5499589834640275,0.8587755102040816,0.7705223880597015,0.769589552238806,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
9,50.53056764602661,91.15524935722351,0.3630844230082498,0.5535636780753969,0.5672803280958488,0.8491138059701493,0.7544351073762838,0.7546641791044776,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
