fold,train_time,precompute_time,nll_train,nll_val,nll_test,accuracy_train,accuracy_val,accuracy_test,kernel_type,kernel_params,lambda_,grad_norm_threshold,lr,alpha_std,smoothing,SEED
1,83.05211305618286,71.16356086730957,0.33434937827710726,0.535203088687945,0.5817878819719146,0.8729719034428176,0.7710970464135021,0.739451476793249,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
2,61.517637491226196,71.372154712677,0.3394822247848239,0.5508943710649064,0.5842410059417853,0.864529745416172,0.760548523206751,0.7447257383966245,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
3,64.2157051563263,70.8393805027008,0.3400365570072385,0.5193740909109639,0.5973961423720991,0.8675636459569978,0.7742616033755274,0.7426160337552743,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
4,85.06725430488586,70.70742535591125,0.33638842428851734,0.5504138157840519,0.579247197018394,0.8694103680253265,0.75,0.7415611814345991,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
5,82.43323397636414,70.49166512489319,0.33008128101915973,0.5617962929769911,0.5848407342967101,0.8740271731961483,0.7679324894514767,0.7531645569620253,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
6,56.94819211959839,70.17560911178589,0.3420596619014642,0.5222165393426952,0.5863114369066456,0.864134019258673,0.770042194092827,0.7331223628691983,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
7,73.62209749221802,71.22693204879761,0.3303978712946782,0.5689753982560058,0.5825172134592563,0.871010287523081,0.7423442449841605,0.7426160337552743,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
8,74.62945485115051,70.69554114341736,0.3317949983822705,0.5782279283469179,0.5947695703949103,0.871010287523081,0.747624076029567,0.7352320675105485,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
9,69.27539396286011,70.52390551567078,0.3359689272289633,0.5209977050265642,0.5896678554357858,0.8685043524136112,0.7719112988384371,0.739451476793249,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0001,0.001,0.01,0.01,0,1234
1,62.43428993225098,70.79269123077393,0.457946720986265,0.5797321303484309,0.6147678552297601,0.8149320670096294,0.7478902953586498,0.7056962025316456,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0005,0.001,0.01,0.01,0.01,1234
2,44.383331537246704,70.38587546348572,0.4595185473449248,0.5860468224634098,0.615126211431962,0.8169106977971244,0.7362869198312236,0.7120253164556962,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0005,0.001,0.01,0.01,0.01,1234
3,45.187461376190186,70.63907432556152,0.46145991778376866,0.5647797403456289,0.6240200251969608,0.815195884447962,0.7426160337552743,0.7194092827004219,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0005,0.001,0.01,0.01,0.01,1234
4,68.13669967651367,70.78618383407593,0.45570678469405423,0.6005234859160733,0.6135838504582015,0.8132172536604669,0.7067510548523207,0.7141350210970464,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0005,0.001,0.01,0.01,0.01,1234
5,51.82864046096802,70.09377932548523,0.45576137094380686,0.6029430019201608,0.6159194753139834,0.8129534362221342,0.7246835443037974,0.7204641350210971,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0005,0.001,0.01,0.01,0.01,1234
6,48.78538489341736,70.66978526115417,0.46040938205917753,0.5660023105798392,0.6169223704921545,0.8140087059754649,0.7426160337552743,0.7067510548523207,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0005,0.001,0.01,0.01,0.01,1234
