fold,kernel_type,SEED,learning_rate,lambda,patience,alpha_std,smoothing,n_splits,test_size,precompute_batch_size,optimizer,max_epochs,kernel_params,nll_train,nll_val,nll_test,acc_train,acc_val,acc_test,train_time,precompute_time,precompute_time_train,precompute_time_val,precompute_time_test
1,0.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=0.5_length_scale=1,0.2926536875911079,0.5999089710748018,0.41119384765625,0.9015743440233236,0.746268656716418,0.8339552238805971,30.767773389816284,90.01361298561096,72.016042470932,8.990402460098267,8.999568462371826
2,0.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=0.5_length_scale=1,0.2895916659074344,0.6490718784616955,0.41732696988689366,0.9022740524781341,0.7136194029850746,0.832089552238806,28.054601907730103,90.70881915092468,72.63428688049316,9.043728113174438,9.03042984008789
3,0.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=0.5_length_scale=1,0.29373266103316326,0.6504682854040346,0.3952363427005597,0.9002915451895044,0.7182835820895522,0.8414179104477612,27.973488807678223,90.11387395858765,72.09752917289734,9.005783319473267,9.0101900100708
4,0.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=0.5_length_scale=1,0.2961808719023324,0.6530740083153568,0.3994858015829058,0.8949271137026239,0.7360074626865671,0.8330223880597015,27.234339475631714,90.05577301979065,72.03887033462524,9.008032083511353,9.008499145507812
5,0.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=0.5_length_scale=1,0.2924565814048834,0.6547406894057545,0.36205778548966594,0.8999416909620991,0.7276119402985075,0.8544776119402985,28.761839628219604,90.16264963150024,72.13485193252563,9.019821405410767,9.007596731185913
6,0.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=0.5_length_scale=1,0.2900056942419825,0.6770509178958722,0.3542893537834509,0.9033236151603499,0.7164179104477612,0.8544776119402985,28.045586585998535,90.15091633796692,72.07734656333923,9.024267435073853,9.048932075500488
7,0.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=0.5_length_scale=1,0.29267020089285717,0.658147555678638,0.3874930196733617,0.8984256559766763,0.7098880597014925,0.8423507462686567,28.805527448654175,89.9994432926178,71.9923837184906,8.997952699661255,9.008738040924072
8,0.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=0.5_length_scale=1,0.2946025988520408,0.6380563992172924,0.3579403322134445,0.8970262390670554,0.7257462686567164,0.8591417910447762,27.966485500335693,90.20413637161255,72.15467524528503,9.01840329170227,9.030686378479004
9,0.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=0.5_length_scale=1,0.2925886467321595,0.6567406747855392,0.34715037559395406,0.8994869402985075,0.7142857142857143,0.8600746268656716,28.789596796035767,90.27945613861084,72.2522668838501,9.003026008605957,9.023765087127686
1,1.5matern,42,0.01,5e-05,20,0.01,0.01,9,0.1,1500,LBFGS,100,sigma=5_nu=1.5_length_scale=1,0.39278898278061225,0.5875726386682311,0.48980507921816696,0.8310204081632653,0.7434701492537313,0.7705223880597015,30.77394413948059,92.979012966156,74.39644289016724,9.2901132106781,9.284960985183716
