fold,kernel_type,kernel_params,Nw,rho,tol,eps,smoothing,n_splits,theta_std,lr,lambda,patience,SEED,learning_rate,nll_train,nll_val,nll_test,acc_train,acc_val,acc_test
1,gaussian,"{'sigma': 5, 'lengthscale': 3.6}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.41958972986516035,0.5233041564030434,0.4710884663596082,0.8390670553935861,0.7882462686567164,0.8097014925373134
2,gaussian,"{'sigma': 5, 'lengthscale': 3.6}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.41691938661625366,0.5239453671583488,0.47380276580355063,0.8379008746355685,0.7789179104477612,0.8050373134328358
3,gaussian,"{'sigma': 5, 'lengthscale': 3.6}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.417035150555758,0.5349934136689599,0.46139048106634795,0.8403498542274053,0.7845149253731343,0.8059701492537313
4,gaussian,"{'sigma': 5, 'lengthscale': 3.6}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.41774604819606415,0.5155156833022388,0.4628430266878498,0.8388338192419825,0.7985074626865671,0.8106343283582089
5,gaussian,"{'sigma': 5, 'lengthscale': 3.6}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.4147788925838192,0.5315790318731052,0.45151656421262826,0.8388338192419825,0.7854477611940298,0.8125
6,gaussian,"{'sigma': 5, 'lengthscale': 3.6}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.4168704161352041,0.5448179672013468,0.4562601117945429,0.8393002915451895,0.7686567164179104,0.8152985074626866
7,gaussian,"{'sigma': 5, 'lengthscale': 3.6}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.41463667889030614,0.543351244570604,0.47075206130298214,0.8431486880466472,0.7658582089552238,0.8041044776119403
8,gaussian,"{'sigma': 5, 'lengthscale': 3.6}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.41844843294460643,0.5003942233413013,0.457036658899108,0.8387172011661808,0.7854477611940298,0.8171641791044776
9,gaussian,"{'sigma': 5, 'lengthscale': 3.6}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.41589067943060576,0.5324963481486344,0.44830894470214844,0.839902052238806,0.7908496732026143,0.8218283582089553
1,gaussian,"{'sigma': 5, 'lengthscale': 4}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.4455115706997085,0.5419276223253848,0.4939435133293493,0.8256559766763848,0.773320895522388,0.7919776119402985
2,gaussian,"{'sigma': 5, 'lengthscale': 4}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.44582253325437315,0.5265098685648903,0.4886250282401469,0.8272886297376093,0.7789179104477612,0.792910447761194
3,gaussian,"{'sigma': 5, 'lengthscale': 4}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.4445031773870262,0.5419402051327834,0.48392873735570197,0.8270553935860059,0.769589552238806,0.7994402985074627
4,gaussian,"{'sigma': 5, 'lengthscale': 4}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.4450955209092566,0.5200642258373659,0.4822897839902052,0.8258892128279883,0.7863805970149254,0.8013059701492538
5,gaussian,"{'sigma': 5, 'lengthscale': 4}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.44297233737244895,0.5476988607378148,0.4708975606889867,0.8268221574344023,0.773320895522388,0.8013059701492538
6,gaussian,"{'sigma': 5, 'lengthscale': 4}",20000,1000,1e-09,1e-09,0.01,9,0.001,0.01,1e-10,10,42,0.01,0.4447318012026239,0.5510222022213153,0.47167834950916804,0.8277551020408164,0.7639925373134329,0.8013059701492538
