fold,kernel_type,kernel_params,Nw,rho,tol,eps,smoothing,n_splits,theta_std,lambda,patience,SEED,learning_rate,nll_train,nll_val,nll_test,acc_train,acc_val,acc_test,train_time
1,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,10,42,0.1,0.4448708830630467,0.5714314019502099,0.5356198211214436,0.8016326530612244,0.7360074626865671,0.7546641791044776,18.259930849075317
2,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,10,42,0.1,0.4497910782616618,0.6144610732348997,0.5616124281242713,0.7979008746355685,0.7089552238805971,0.7378731343283582,15.97494649887085
3,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,10,42,0.1,0.44344826211734695,0.6128964779981926,0.5273554218349172,0.801865889212828,0.6847014925373134,0.7509328358208955,17.670392990112305
4,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,10,42,0.1,0.46452732097303207,0.6044700394815473,0.5588345883497551,0.7875218658892128,0.7061567164179104,0.730410447761194,12.199089527130127
5,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,10,42,0.1,0.45886570699708457,0.6210200751005713,0.5285537491983442,0.797201166180758,0.7098880597014925,0.7490671641791045,13.22750973701477
6,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,10,42,0.1,0.47943034803206996,0.6292421141667153,0.5463809113004314,0.7868221574344023,0.6958955223880597,0.7397388059701493,10.15001916885376
7,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,10,42,0.1,0.4706335698341837,0.6154752133497551,0.5549776447353079,0.794402332361516,0.7014925373134329,0.7341417910447762,11.166801452636719
8,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,10,42,0.1,0.47229307124635567,0.5742415812478137,0.5416547860672225,0.7881049562682215,0.7444029850746269,0.730410447761194,12.08789849281311
9,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,10,42,0.1,0.4534705432493295,0.6013093551222572,0.5266844336666278,0.7979244402985075,0.7133520074696545,0.7555970149253731,14.808809995651245
1,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.1,0.45226340424562683,0.5827697070676889,0.5638329235475454,0.7949854227405247,0.7388059701492538,0.7360074626865671,16.685677528381348
2,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.1,0.4684799221027697,0.6190227679352263,0.5585278753024429,0.7905539358600583,0.6958955223880597,0.7453358208955224,12.035275936126709
3,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.1,0.43777394998177843,0.6008941308775945,0.528080214315386,0.8038483965014577,0.6977611940298507,0.7667910447761194,20.05507183074951
4,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.1,0.4664692567875364,0.6113657026148555,0.5480953615103195,0.7900874635568513,0.7052238805970149,0.7369402985074627,12.672017574310303
5,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.1,0.4685828739978134,0.6306946028524371,0.5360948932704641,0.7942857142857143,0.7098880597014925,0.7509328358208955,11.515056133270264
6,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.1,0.47416667615707,0.6286674044025478,0.5395526031949627,0.7892711370262391,0.7005597014925373,0.7341417910447762,10.91887903213501
7,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.1,0.47356749954446065,0.6182334102801422,0.5595312545548624,0.7917201166180758,0.7005597014925373,0.7416044776119403,11.229949474334717
8,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.1,0.4675658823797376,0.5739588381639168,0.5482629804468867,0.7891545189504373,0.7322761194029851,0.7313432835820896,13.015397548675537
9,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.1,0.4499874399669135,0.6007432269782913,0.5143801561042444,0.8035214552238806,0.7236227824463118,0.753731343283582,15.963997602462769
1,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4444777241253644,0.5740208981642082,0.5504862087876049,0.8001166180758017,0.7332089552238806,0.7425373134328358,134.65998220443726
2,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4608014076166181,0.621923190444263,0.5597138476015916,0.7910204081632654,0.7024253731343284,0.7350746268656716,106.92305207252502
3,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4428642891308309,0.608887401979361,0.5349058464391908,0.8023323615160349,0.6949626865671642,0.7509328358208955,131.467520236969
